CharacterID,Character,Title,Creator,YearCreated,YearPeriod,WorksType,Company,OtherCreator
87,"Speaker, A Winter Piece",A Winter Piece in The Idle Man,William Cullen Bryant,1821,AD,Poem,Wiley & Halsted,
88,"Speaker, The Suicide",The Suicide in Renascence And Other Poems,Edna St. Vincent Millay ,1917,AD,Poem,Harper & Brothers,
89,Spiderman,Spiderman: The Animated Series,Multiple,1994,AD,TV show,Fox,Bob Richardson; Avi Arad; Stan Lee; John Semper
90,Steve Urkel,Family Matters,Multiple,1989,AD,TV show,ABC,William Bickley; Michael Warren
91,The Terminator,Terminator 2: Judgment Day,James Cameron,1992,AD,Film,Carolco Pictures,
92,The Thing,Fantastic Four: The Animated Series,Multiple,1994,AD,TV show,The Marvel Action Hour,Jack Kirby; Stan Lee
93,The Tramp,Silent Films,Charlie Chaplin,1915,AD,Film,Varies,
94,Thereza Ambrose,Limelight,Charlie Chaplin,1952,AD,Film,Celebrated Productions,
95,Tiny Tim,A Christmas Carol,Charles Dickens,1843,AD,Novella,Chapman & Hall,
96,Tod Clifton,Invisible Man,Ralph Ellison,1952,AD,Novel,Random House,
97,Tommy Wilhelm,Seize the Day,Saul Bellow,1956,AD,Novel,Viking Press,
98,Trip,Glory,Edward Zwick,1989,AD,Film,Freddie Fields Productions,
99,"Weary Slave, Banjo Song",A Banjo Song in Lyrics of Lowly Life,Paul Laurence Dunbar,1896,AD,Poem,"Dodd, Mead and Company",
100,Winston,1984,George Orwell,1949,AD,Novel,Secker & Warburg,
101,Gary Hobson,Early Edition,Multiple,1996,AD,TV show,CBS,Ian Abrams; Patrick Q. Page; Vik Rubenfeld
102,Bolie Jackson,The Twilight Zone,Rod Serling,1959,AD,TV show,CBS,
103,Aloysius T. McKeever,It Happened on Fifth Ave,Roy Del Ruth,1947,AD,Film,Roy Del Ruth Productions,
104,Chris Adams,The Magnificent Seven,John Sturges,1960,AD,Film,The Mirisch Company,
105,Long John Willoughby,Meet John Doe,Frank Capra,1941,AD,Film,Frank Capra Productions,
106,Kazuko,The Setting Sun,Osamu Dazai,1947,AD,Novel,"Shinchosha Publishing Co, Ltd.",
107,Olga Treskovna,Miracle of the Bells,Irving Pichel,1948,AD,Film,RKO Radio Pictures,
108,Joey Crown,The Twilight Zone,Rod Serling,1959,AD,TV show,CBS,
109,Sun Bak,Sense8,Multiple,2015,AD,TV show,Netflix,Lana Wachowski; Lilly Wachowski; J. Michael Straczynski
110,Morph,"X-Men, The Animated Series",Multiple,1992,AD,TV show,Fox,Eric Lewald; Sidney Iwanter; Mark Edens
111,Mariner,Lines Written Among the Euganean Hills,Percy Bysshe Shelley,1819,AD,Poem,C. and J. Ollier,
112,Desmond Hume,Lost,Multiple,2004,AD,TV show,ABC,Jeffrey Lieber; J. J. Abrams; Damon Lindelof
113,Warehouse Worker,You Can''t Go Home Again,Thomas Wolfe,1940,AD,Novel,Harper & Row,
114,Oscar de León,The Brief Wondrous Life of Oscar Wao,Junot Díaz,2007,AD,Novel,Riverhead,
115,Mr. Gruffydd,How Green Was My Valley,John Ford,1941,AD,Film,Twentieth Century Fox,
116,John Reese,Persons of Interest,Jonathan Nolan,2011,AD,TV show,CBS,
117,Bud Bundy,Married with Children,Multiple,1987,AD,TV show,Fox,Michael G. Moye; Ron Leavitt
118,Shawn Hunter,Boy Meets World,Multiple,1993,AD,TV show,ABC,Mchael Jacobs; April Kelly
119,"Singer, Walk With You",Walk With You,Della Reese,1998,AD,Song,550 Music/Sony Music Soundtrax,
120,Father Connolly,Angels with Dirty Faces,Michael Curtiz,1938,AD,Film,Warner Bros,
